"P3a1" "P3a2" "P3a3" "P3a4" "P3a5" "P3a6" "P3a7" "V8" "V9" "V10"
"555" NA NA 1 NA NA NA NA 1 1 4
"556" 1 NA NA NA NA NA NA 1 1 2
"557" 1 NA NA NA NA NA NA 1 1 4
"558" NA NA 1 NA NA NA NA 2 NA 4
"559" NA NA NA NA 1 NA NA 1 3 3
"560" NA NA 1 NA NA NA NA 1 3 2
"561" NA NA 1 NA NA NA NA 1 NA 5
"562" NA NA 1 NA NA NA NA 1 1 2
"563" 1 NA NA NA NA NA NA 1 6 4
"564" NA 1 NA NA NA NA NA 2 2 3
"565" NA NA 1 NA NA NA NA 1 1 4
"566" NA NA 1 NA NA NA NA 1 NA 5
"567" NA NA NA 1 NA NA NA 2 1 4
"568" NA NA 1 NA NA NA NA 2 3 4
"569" NA NA 1 NA NA NA NA 1 3 4
"570" NA NA 1 NA NA NA NA 1 NA 5
"571" NA NA 1 NA NA NA NA 2 3 5
"572" NA NA 1 NA NA NA NA 1 NA 4
"573" 1 NA NA NA NA NA NA 1 3 2
"574" NA NA NA NA NA 1 NA 1 NA 5
"575" 1 NA NA NA NA NA NA 1 2 3
"576" NA NA 1 NA NA NA NA 1 3 4
"577" NA NA 1 NA NA NA NA 1 3 4
"578" NA NA 1 NA NA NA NA 2 3 4
"579" NA NA NA NA NA NA 1 1 1 4
"580" 1 NA NA NA NA NA NA 1 2 1
"581" NA NA 1 NA NA NA NA 2 3 4
"582" NA NA 1 NA NA NA NA 1 3 3
"583" NA NA 1 NA NA NA NA 1 3 4
"584" 1 NA NA NA NA NA NA 1 2 4
"585" NA NA 1 NA NA NA NA 2 NA 5
"586" NA 1 NA NA NA NA NA 2 1 3
"587" NA NA NA NA 1 NA NA 1 3 4
"588" 1 NA NA NA NA NA NA 1 2 3
"589" NA NA 1 NA NA NA NA 1 6 4
"590" NA NA NA NA 1 NA NA 1 NA 5
"591" NA NA NA 1 NA NA NA 1 NA 5
"592" NA NA 1 NA NA NA NA 2 2 4
"593" NA NA NA 1 NA NA NA 1 2 2
"594" NA NA NA 1 NA NA NA 2 NA 5
"595" NA NA 1 NA NA NA NA 2 NA 5
"596" NA NA 1 NA NA NA NA 2 NA 4
"597" NA NA NA 1 NA NA NA 1 3 4
"598" NA NA 1 NA NA NA NA 2 2 3
"599" NA 1 NA NA NA NA NA 2 3 4
"600" NA NA 1 NA NA NA NA 1 6 2
