Ident	P1	P1_r	P2_2	P3a1	P3a2	P3a3	P3a4	P3a5	P3a6	P3a7	P3a8	P4	P5	P6	P7a1	P7a2	P7a3	P7a4	P7a5	P7a6	P7a7	P7a8	P7a9	P7a10	P8	P9_1a1	P9_1a2	P9_1a3	P9_1a4	P9_1a5	P9_1a6	P9_1a7	P9_1a8	P9_1a9	P9_1a10	P9_1a11	P9_1a12	P9_2a1	P9_2a2	P9_2a3	P9_2a4	P9_2a5	P9_2a6	P9_2a7	P9_2a8	P9_2a9	P9_2a10	P9_2a11	P9_2a12	P10	control	P11	P12a1	P12a2	P12a3	P12a4	P12a5	P12a6	P12a7	P12a8	P12a9	P13	P14	P15	P16	P17	P18	P19	P20a1	P20a2	P20a3	P20a4	P20a5	P20a6	P20a7	P20a8	P20a9	P20a10	P20a11	P20a12	P21_1	P21_2	P21_3	P21_4	P21_5	P21_6	P21_7	P21_8	P21_9	P22_1	P22_2	P22_3	P23	P24a1	P24a2	P24a3	P24a4	P24a5	P24a6	P24a7	P24a8	P24a9	P24a10	P24a11	P24a12	P24a13	P24a14	P24a15	P25a1	P25a2	P25a3	P25a4	P25a5	P25a6	P25a7	P26_1	P26_2	P26_3	P27	P28	P29	P30	P31_1	P31_2	P31_3	P32	P33	P34	P34_DG	P35	P36	P35_DG	Nivel_socioeconomico	P37
1620128946	24	2	21	1								1	3	3											5											1							1							1	3	3					1	1	1	1		1	8	2		1	4	3	1	1	1		1	1		1		1			1	4	1	4	3	4	4	4	5	2	1	2	3				1							1						1	1			1		3	6	4	4	2	2	2	Dont know	Dont know	Dont know	3	7	4	5	1	2	2	2	99
1620132445	24	2	2			1						1	3	3											5	1												1												1	3	2					1		1			2	8	2		1	3	3			1				1						3	3	3	3	3	3	3	4	3	1	1	2	3										1												1	4	4	3	3	1	2	2	Open	Tolerant	Chueca	4	3	8	8	1	2	2	1	6
1620142062	24	2	11			1						1	5	5											5											1		1												5	3	3					1					1	10	2		1	2	3		1	1		1	1		1					5	4	3	3	4	4	3	4	4	2	2	2																				1				4	5	4	5	2	2	2	Chueca	 		3	4	8	8	1	2	2	2	4
1620156764	24	2	9			1						2	5	5											6							1							1											1	3	2									1	1	10	2		1	1	3	1	1	1	1	1		1	1			1		2	4	2	4	3	4	3	4	3	2	2	2																	1							4	4	3	2	1	2	2	Open	Tolerant	Diversity	3	7	9	8	3	2	3	2	99
1620210691	24	2	2			1						2	3	4											3				1																	1				2	3	2			1	1		1				1	9	2		1	2	3			1										3	3	2	3	3	3	3	2	2	1	1	1	2		1																		1			2	2	2	3	3	2	1	Sincere	Comprehensive	Friendly	3	2	4	5	6		7	1	8
1620212614	24	2	19	1								1	5	5											5				1													1								2	3	3		1			1			1		1	9	2		1	1	2	1	1	1		1	1		1					1	3	2	3	3	4	2	2	2	1	1	2	2			1						1		1						1				1		2	1	2	4	3	1	2	Freedom	Expression	Tolerant more or less	3	3	3	4	1	2	2	4	3
1620489099	24	2	10			1						1	4	4											5	1												1												3	3	2			1							2	6	2		1	1	2		1	1										1	2	2	1	2	2	2	2	1	2	2	2																				1				3	3	3	3	3	3	2	Little tolerant	Aggressive	Disrespectful	3	2	8	8	4		4	4	3
1620511971	24	2	4			1						1	4	5											5				1			1											1							3	3	3	1				1					2	7	2		1	2	3					1		1						3	4	3	4	3	4	4	4	4	2	2	2																	1					1		4	3	4	2	1	2	2	freedom	cosmopolitan	open	3	1	8	8	1	2	2	5	4
1619929869	25	3	17			1						2	5	5											5		1											1												2	3	4				1						1	7	2		3	2	3			1										2	2	2	3	2	3	3	2	2	2	2	2																		1			1			2	1	2	3	3	2	2	Defender	Friendly	Supported	4	2	3	4	3	2	3	7	2
1620100528	25	3	11			1						2	4	5											5		1												1											1	3	3	1									1	7	2		1	3	3	1	1	1		1	1	1						2	3	2	3	3	3	3	4	2	1	2	2	3		1		1																		1	1	6	1	3	2	3	2	Chueca	Diversity	Gays	3	4	8	8	1	2	2	4	3
1620131100	25	3	2	1								1	4	4											5					1														1						2	3	2									1	1	7	2		1	2	2	1	1	1		1	1							5	5	3	3	2	5	3	5	2	1	2	2	3	1	1										1				1	1						1	1	2	3	2	3	2	Open	Friendly	Progressive	4	8	4	5	7		8	7	2
1620199204	25	3	2	1								1	3	4											10		1												1											2	3	2	1	1	1		1		1	1		2	7	2		1	3	2	1	1	1										1	1	1	2	1	2	1	2	1	1	1	1	3	1	1	1	1		1			1				1			1	1	1	1	1	1		2	2	3	3	3	3	2	Hard	Ancient	Cateta	4	1	3	4	1	2	2	5	3
1620201617	25	3	13			1						1	4	4											1										1												1			4	3	3			1			1	1	1		1	10	2		1	1	3		1	1										3	2	3	2	1	2	2	2	1	2	1	2	2											1					1				1			1	1	2	2	2	1	2	Exuberant	Hypocrite	loyal	2	4	10	8	1	2	2	2	3
1620201640	25	3	17			1						2	5	5											5			1										1												2	3	4									1	1	9	2		1	2	3			1		1	1							3	3	3	3	3	3	3	3	3	2	2	2																							1	5	5	4	1	1	2	2	Open	Freedom	Diversity	3	3	8	8	1	2	2	2	6
1620202438	25	3	3				1					1	4	5											1				1														1							2	3	4					1					1	10	2		1	2	3	1	1	1				1						3	4	3	4	2	1	4	4	3	1	2	2	2				1							1						1						2	3	3	1	1	1	1	Freedom	Empathy	Party	3	1	8	8	1	2	2	3	3
1620211126	25	3	2			1						2	3	5											5		1		1										1											1	3	3	1				1					2	8	2		3	2	2	1	1	1		1	1	1						3	4	3	4	3	3	3	3	3	1	1	1	3		1		1	1							1	1			1	1	1	1	1	1		4	3	3	3	2	2	2	tolerant	open	false	3	4	9	8	1	2	2	2	6
1620211370	25	3	2			1						2	1	2											1					1		1										1								2	3	1	1		1	1	1		1			5	3	2		1	4	3	1	1	1							1			1	2	1	2	2	3	3	5	2	1	1	2	3		1		1												1	1		1	1			2	3	3	3	2	3	2	Free	Open	Aggressive	3	4	4	5	5		5	6	99
1620218989	25	3	14			1						1	6	6											1				1										1											2	3	2	1				1			1		3	5	2		1	2	4		1											4	2	2	5	2	3	3	5	2	1	1	2	3													1				1						5	3	4	2	3	3	2	Usera	Parla	Getafe	3	8	2	3	6		7	6	5
1620222225	25	3	2					1				1	6	5											6		1												1											2	3	3				1						1	10	1	2		3	3						1	1						3	4	4	2	3	4	3	2	3	2	2	2																	1							2	2	2	2	2	2	2	well	functional	stable	1	5	7	8	1	2	2	4	2
1620498046	25	3	11			1						1	4	4											5		1												1											1	3	3									1	1	7	2		1	1	3	1	1	1			1							1	4	4	5	3	4	3	4	3	1	2	2	3	1			1							1	1					1						2	6	2	4	2	2	2	Traquila	friendly		4	2	5	6	5		5	3	5
1620572598	25	3	9						1			2	3	4											5		1												1											1	3	4				1			1			1	10	2		1	4	2	1	1	1	1									1	1	2	3	1	2	1	1	1	2	2	2																		1			1	1		2	1	3	3	2	2	2	Freedom	Growth	Dreaming	4	3	6	7	1	2	2	4	2
1620042270	26	3	13			1						2	5	5											5	1												1												1	3	4				1						1	8	2		3	1	3		1	1		1		1						2	2	1	3	2	3	2	3	3	1	2	2	3	1			1					1	1			1			1			1				2	2	2	4	3	3	2	Interested	 		3	4	9	8	1	2	2	2	6
1620045303	26	3	13			1						2	4	5											6							1		1		1	1			1										2	3	2	1	1	1	1						1	8	2		1	2	2		1	1		1	1	1						2	2	2	2	2	1	2	1	2	1	2	2	3											1					1			1	1			4	3	3	3	2	3	2	Diverse	Dangerous		3	4	9	8	1	2	2	2	5
1620091293	26	3	2		1							2	3	4											5				1										1											1	3	3					1					1	8	2		3	2	2	1	1	1		1	1	1	1		1			2	3	5	3	3	3	3	3	3	2	2	1	3	1																					1	2	2	2	3	2	3	2	Freedom	 		4	3	9	8	1	2	2	2	99
1620112920	26	3	8			1						2	5	5											5	1												1												2	3	4					1					5	9	2		1	1	3		1	1				1			1			2	4	3	3	3	3	3	5	4	2	2	2																	1							4	6	6	5	1	3	2	Free	 		4	1	8	8	1	2	2	4	2
1620126317	26	3	10	1								1	3	3											5		1															1								1	3	3	1				1					1	7	2		2	3	2		1	1			1	1			1			2	4	3	3	2	3	3	2	3	2	2	2																	1			1				3	2	3	3	2	3	2	Pride	Freedom	Diversity	4	2	9	8	5		5	6	4
1620136108	26	3	9							1		2	5	5											5	1												1												1	3	4	1				1					1	8	2		1	1	3		1	1			1	1						3	3	2	3	2	2	2	3	3	2	2	2																							1	2	2	2	4	2	2	2	Open	Welcome	Celebrat	4	2	9	8	1	2	2	2	6
1620199173	26	3	11	1								1	3	3											1					1										1										3	3	3	1	1			1	1	1	1		2	6	2		1	2	3	1	1	1			1	1			1			3	2	2	2	3	3	3	2	3	1	1	1	2	1					1	1	1								1	1	1		1	1		3	2	2	3	3	1	1	Assault	Freedom	Help	4	2	8	8	1	2	2	1	7
1620199185	26	3	5			1						1	5	4											5			1												1										3	3	4									1	2	5	2		1	2	3			1										3	4	4	3	4	4	4	3	4	2	2	2																							1	5	5	5	1	1	2	2	Plurality	Equality	Values	4	2	7	8	1	2	2	2	3
1620202018	26	3	1			1						1	4	4											5		1																			1				2	3	2				1	1					2	5	1	1		2	3	1		1										3	4	3	2	3	4	3	4	2	2	1	2	3				1						1						1				1			4	5	5	1	2	2	2	Tolerance	Friendly	Compressible	1	5	7	8	1	2	2	3	8
1620210649	26	3	13		1							2	3	3											1		1												1											2	3	4								1		1	9	2		1	1	2	1		1										2	2	2	3	3	3	3	3	2	1	1	2	3									1							1							2	2	2	3	3	2	2	Selfish	 		4	3	3	4	1	2	2	2	5
1620210685	26	3	6			1						2	5	5											5					1				1		1						1	1							2	3	3					1					2	8	2		1	2	3			1		1								2	3	2	3	3	3	2	2	2	1	2	2	3							1		1							1							2	4	2	3	2	1	2	Free	Watch out	Respect	4	1	7	8	1	2	2	4	3
1620211454	26	3	2			1						1	3	3											2		1												1											1	3	4				1						1	7	1	1		1	3	1	1	1		1	1	1						2	3	4	4	3	4	2	4	3	2	2	2																							1	4	4	4	2	2	1	1	Tolerance	Peace	Tranquillity	2	5	9	8	1	1	1	2	9
1620214276	26	3	2						1			1	1	4											5				1																	1				2	3	1	1				1	1				2	0	2		1	1	2			1		1					1			2	1	3	4	1	2	3	3	4	1	1	2	1																1	1		1		1		1	1	1	3	3	1	1	Freedom	Discrimination	Integration	3	3	7	8	6		7	3	3
1620218574	26	3	6			1						1	3	4											1		1											1												2	3	3									1	2	8	2		1	2	3						1							2	3	3	3	2	2	3	3	3	1	1	2	3								1												1			4	4	4	3	2	2	2	Support	Equality	Comprehension	4	2	6	7	3	2	3	6	3
1620567517	26	3	9			1						2	5	4											1					1												1								3	3	2		1		1	1					1	5	2		2	4	3	1	1	1										2	3	2	3	2	3	3	1	3	2	1	2	3	1								1							1			1				4	3	3	3	2	2	2	Open	Comprehensive	Diversity	4	2	3	4	1	2	2	1	4
1620569441	26	3	9							1		2	5	5											3				1																				1	1	3	3	1				1			1		1	3	2		2	4	4	1		1	1						1			1	3	2	2	3	3	3	2	2	2	2	2																					1			3	3	3	4	2	2	2	friendly	tolerant		4	2	4	5	2	1	6	6	3
1620571118	26	3	9							1		2	4	5											1		1											1												1	3	3	1				1			1		1	4	2		2	3	3	1	1	1										2	3	4	4	5	3	3	3	2	2	2	2																		1		1	1			2	2	2	3	3	2	2	Tolerable	Indifferent		4	2	4	5	5		5	6	2
1620023969	27	3	21			1						1	3	5											5	1												1												1	3	4	1				1					1	7	2		3	3	2			1		1		1			1			2	3	3	4	3	3	3	3	3	2	2	2																							1	4	4	4	5	1	3	2	Freedom	Diversity		4	1	8	8	1	2	2	4	4
1620042858	27	3	7			1						2	5	5											5							1								1										1	3	4									1	1	7	2		2	1	2	1	1	1	1	1	1	1			1	1		1	2	1	2	1	3	2	1	1	1	1	2	3	1	1	1	1					1	1			1									1	1	1	1	4	3	3	2	Postureo	Insufficient	Exclusive	3	3	5	6	1	2	2	1	5
1620092183	27	3	10			1				1		2	5	5											5	1												1												2	3	2	1			1						2	7	2		2	3	2			1										5	3	2	3	5	2	5	2	5	2	2	2																				1				6	6	6	3	2	2	2	Pride	Chueca		4	1	8	8	1	2	2	4	3
1620103871	27	3	3	1								1	3	6											5	1												1												1	3	2	1	1	1	1	1	1	1	1		1	8	2		2	1	4			1							1			1	2	2	3	2	3	1	1	1	2	2	2																	1				1			2	2	2	4	2	3	2	Diverse	Open		4	2	6	7	1	2	2	5	8
1620123891	27	3	13			1						2	5	5											5							1						1												1	3	3					1					1	8	2		1	2	2	1	1	1		1		1						1	3	3	3	2	3	2	2	2	2	2	2																							1	2	4	3	3	2	2	2	Open	 		3	4	9	8	1	2	2	2	6
1620126709	27	3	11	1								1	3	4											12			1													1									2	3	3		1			1					1	8	2		3	3	2		1	1		1		1						2	3	5	4	3	4	4	3	2	1	2	2	3	1										1	1	1			1	1			1			4	4	4	5	2	3	2	Open	Centralized	Sectarianized	3	4	4	5	1	1	1	4	99
1620126724	27	3	10			1						1	3	4											5							1									1									3	3	3				1	1					2	9	2		3	2	2	1		1							1			2	3	3	3	3	3	3	3	3	2	2	2																							1	4	6	4	5	2	3	2	Freedom	Permits	Indifferent	4	2	8	8	1	2	2	2	99
1620141482	27	3	5	1								1	4	5											8		1													1										1	3	2							1			1	8	2		3	2	2	1	1	1	1	1	1	1	1	1	1			2	3	3	3	3	3	3	3	3	1	2	2	3	1			1							1	1					1	1			1		3	3	3	3	1	3	2	Tolerance	 		3	4	8	8	1	2	2	2	6
1620199198	27	3	5			1						1	4	5											2		1															1								4	3	4					1					2	7	2		2	3	3		1		1	1		1	1	1				3	3	4	2	3	4	2	2	2	2	1	2	3				1															1				3	2	3	2	2	2	2	Friendship	 		3	3	5	6	1	1	1	1	4
1620199232	27	3	13	1								1	2	4											5				1												1									2	3	4	1									1	8	2		1	1	3		1	1		1								2	4	4	4	2	4	4	4	4	1	1	2	3												1				1				1			5	4	4	3	2	1	2	Freedom	Tolerance	Independent	3	4	7	8	1	2	2	2	7
1620199547	27	3	2					1				2	1	10						1																															3	1	1		1		1		1			3	8	2		1	2	3			1										3	3	1	4	2	1	3	2	2	2	2	2																	1					1		4	4	3	3	1	2	2	Open	Friendly	Neutral	2	4	9	8	1	2	2	3	6
1620199584	27	3	2			1						2	3	4											5									1										1						3	3	4	1							1		1	7	2		3	2	3	1	1	1			1	1						2	3	2	3	5	5	3	5	5	2	2	2																		1				1		4	4	4	3	2	3	2	Tolerant	 		3	2	9	8	3	2	3	3	7
1620200195	27	3	2			1						1	3	5											2		1														1									1	3	4		1								1	10	1	1		1	2						1							2	2	4	4	3	4	4	2	4	1	1	2	1																			1				2	2	2	2	2	1	1	Sincerity	Love	Money	1	5	8	8	1	2	2	4	2
1620200216	27	3	13	1		1						1	4	4											5		1												1											2	3	3		1			1	1		1		2	8	2		1	2	3	1	1	1		1	1	1						2	4	4	4	4	3	4	3	3	2	2	2																		1	1	1		1		4	2	2	3	2	1	2	Friendly	Cozy	Tolerable	4	2	8	8	5		5	5	4
1620201379	27	3	4			1						1	3	3											5							1										1								2	3	3				1						2	9	2		1	3	2	1				1	1							1	3	2	2	2	1	2	2	1	1	2	2	3				1									1					1		1			4	4	2	2	2	2	2	Quality	Taste	Left	2	4	8	8	1	2	2	2	6
1620201433	27	3	5	1								1	1	4											5							1											1							1	3	3	1	1			1	1	1			1	9	2		1	4	2			1										5	3	2	3	2	2	1	3	1	1	1	1	3		1			1				1			1				1	1			1			1	1	1	3	3	2	2	Left	Retrograd	Insufficient	3	4	3	4	3	2	3	6	1
1620202240	27	3	2			1						2	4	4											5		1												1											2	3	3					1					1	8	2		1	2	3	1	1	1										1	3	3	4	3	3	2	3	2	1	1	2	3	1			1												1	1	1			1		3	4	2	2	2	1	2	normalized	Friendly		3	4	8	8	1	2	2	3	5
1620202604	27	3	11		1							2	3	3											1				1													1								3	3	2	1				1					2	8	2		1	1	3	1		1										2	3	4	3	3	4	3	2	3	1	2	2	3				1	1											1			1				4	3	3	2	2	3	2	Progress	Improvable	Fickle	3	2	8	8	1	2	2	2	7
1620210809	27	3	1			1						1	4	5											1				1												1									2	3	3									1	2	9	1	2		2	3	1	1	1		1	1	1						4	2	4	3	2	3	2	2	3	2	1	2	3											1						1			1			1	2	2	3	3	2	2	Different	Human	Free	1	5	7	8	1	2	2	2	6
1620365334	27	3	4			1						1	9	10				1																																	3	5									1	5	99	2		3	3	4												1	5	5	5	5	5	5	5	5	5	2	2	2																							1	6	6	6	5	5	3	2	I do not know	I do not know	I do not know	4	3	2	3	3	2	3	2	1
1620546597	27	3	2	1		1						1	9	6											1		1															1								4	3	2			1	1	1	1		1		2	9	2		2	4	2	1		1										2	2	4	3	2	3	2	2	3	1	1	2	3								1									1		1	1	1		4	4	4	2	1	1	2	Freedom	Empathy	Confidence	3	4	7	8	1	2	2	2	4
1620593483	27	3	9				1					2	4	4											11	1																	1							6	3	5					1					3	5	2		1	2	4											1		2	3	2	3	3	4	4	3	4	2	2	2																					1	1		4	3	5	2	2	1	2	PRIDE	COLORS	Chueca	3	2	9	8	3	2	3	2	7
1620040710	28	3	7	1								1	3	3											5					1									1											1	3	3									1	1	9	2		2	3	2	1	1	1		1	1	1	1		1	1		5	3	2	3	2	1	2	2	1	1	1	2	1																						1	1	1	1	4	2	3	2	Diverse	Complex	Atomized	3	4	9	8	5		5	3	6
1620073081	28	3	4			1						1	3	4											7		1						1				1		1										1	2	3	2	1			1	1	1	1	1		3	7	2		1	3	3			1			1	1						2	3	2	3	2	4	3	3	2	2	2	2																	1			1	1			4	3	3	3	2	3	2	Open	improvable	pride	4	3	9	8	1	2	2	2	7
1620118656	28	3	18			1						2	5	5											5	1												1												2	3	2				1						1	7	2		1	1	2			1										3	3	2	4	3	3	3	3	3	2	2	2																	1			1				5	4	4	3	2	3	2	inclusive	abundant	hard	3	4	9	8	1	1	1	3	5
1620142291	28	3	2	1								1	3	4											7							1							1											1	3	3	1	1			1			1		1	8	2		1	2	2	1	1	1		1	1	1	1		1			1	2	3	3	2	1	2	1	1	1	1	2	3		1		1					1							1	1	1	1	1	1		2	2	2	4	3	2	2	Double face	cliche		3	3	10	8	1	2	2	1	6
1620199588	28	3	5			1						1	3	4											7				1									1												2	3	3	1				1					1	7	2		2	3	3	1	1	1										3	5	3	4	2	4	2	2	1	1	1	2	2	1			1	1				1				1			1			1	1			4	4	4	3	2	2	2	Bad	Bit	Any	3	4	4	5	1	2	2	2	6
1620201559	28	3	4			1						1	3	3											1					1													1							2	3	2	1				1					2	9	2		1	3	2			1		1		1						2	2	1	2	2	2	2	1	3	1	1	2	3					1				1							1		1					2	4	2	2	2	1	2	Left	Radicals	Any	2	4	8	8	1	2	2	2	6
1620210639	28	3	1		1	1						2	5	5											5				1																1					2	3	3							1			1	5	2		1	2	2	1	1			1		1			1			1	2	3	3	2	3	3	3	1	2	2	2																	1				1			4	3	4	3	2	1	1	Friends	Party	Freedom	3	4	7	8	1	2	2	3	2
1620210898	28	3	2			1						2	3	3											5				1												1									1	3	3					1					1	7	1	2		2	3	1	1	1	1	1	1	1			1			2	3	2	3	3	3	3	2	2	1	2	2	1																			1	1	1		3	3	2	2	3	1	2	Open	Available	Good	1	5	7	8	1	2	2	4	7
1620211849	28	3	2		1							2	1	2											3			1		1							1		1											2	3	3		1			1		1			1	5	2		1	1	2	1	1	1	1	1	1	1	1			1		2	2	3	3	3	2	1	3	2	2	1	1	3						1						1					1			1			2	3	2	3	1	3	2	Open	Acolhimento	Struggle	4	2	8	8	1	2	2	2	6
1620212996	28	3	9			1						2	3	4											7	1												1												3	3	4	1									1	10	2		3	2	4			1										1	1	1	1	1	3	3	3	1	1	1	2	3		1										1										1	5	4	4	5	3	3	2	Improvable	Regular	I dont know	1	4	2	3	1	1	1	5	1
1620213223	28	3	2			1						2	4	4											5					1										1										3	3	2		1			1	1	1	1		2	7	2		1	3	3		1											1	2	2	3	2	2	2	3	2	1	1	2	3					1		1				1					1	1		1	1			2	3	2	3	2	1	1	Confidence	Support	Equality	3	4	8	8	1	2	2	2	7
1620219882	28	3	9			1						2	4	5											2									1					1											3	3	3	1		1		1	1	1			2	4	1	1		2	3		1	1				1						4	3	3	4	3	4	3	4	4	2	2	2																					1			4	5	5	1	1	2	2	Tolerance	Respect	Freedom	1	7	9	8	1	2	2	1	6
1620220123	28	3	19				1					2	2	2											12					1												1								2	3	2				1						2	8	1	1		1	2			1										2	2	2	2	2	2	2	2	2	1	1	1	1																					1		4	4	3	3	2	3	2	I dont know	 		2	5	4	5	1	2	2	4	4
1620669440	28	3	7		1							2	4	4											6					1														1						1	3	2									1	1	10	2		3	3	2	1	1	1										2	2	5	4	1	3	5	3	4	2	2	2																				1				3	3	2	3	2	3	2	Fun	Diversity	Empathy	3	4	7	8	1	2	2	2	3
1620670338	28	3	10		1							2	1	5											6					1									1				1							1	3	2	1	1	1		1					2	2	2		1	4	2		1	1										2	3	2	3	3	3	3	2	3	2	1	2	3	1	1		1												1				1			2	2	2	4	2	3	2	Cozy	Semi -liberty	Fellowship	3	4	9	8	1	2	2	4	4
1619880820	29	3	21	1								1	3	5											5				1													1								1	3	2									1	1	8	2		1	4	2		1	1				1						5	3	3	3	3	3	3	3	2	2	2	2																	1	1						2	1	2	3	2	3	2	Opportunity	Opening	Freedom	3	4	8	8	3	2	3	4	5
1619888555	29	3	12			1						2	5	5											5	1												1												1	3	4									1	1	8	2		1	2	3		1	1			1	1						2	4	3	3	3	4	3	3	3	2	2	2																							1	2	2	2	3	2	2	2	Pride	Diversity	Support	3	2	9	8	3	2	3	1	7
1619898601	29	3	21			1						2	5	5											5	1												1												3	3	4									1	1	5	2		2	3	3			1		1	1	1						2	2	2	3	2	2	2	2	2	2	2	2																				1	1			2	2	1	3	2	3	2	Tolerance	Homophobia		4	2	8	8	3	2	3	2	99
1619953063	29	3	21			1						2	6	6											6	1												1												6	3	2				1						3	5	2		3	3	3		1	1										2	3	3	3	2	2	3	2	2	2	2	2																				1				1	2	1	3	2	1	2	Environment	Open	Opportunity	4	3	8	8	1	2	2	1	7
1620088915	29	3	9			1						2	6	6											5	1												1												1	3	2	1	1	1	1	1	1	1			3	8	2		1	2	3			1										2	3	1	3	3	3	3	2	2	2	2	2																				1				4	4	4	3	2	2	2	Friendly	Free	Comfortable	3	1	9	8	1	2	2	5	4
1620093242	29	3	9							1		2	6	5											3	1												1												2	3	2	1		1	1			1	1		1	1	2		3	2	2		1	1										1	1	1	4	1	3	3	1	2	2	2	2																	1	1	1		1	1		1	2	2	3	2	2	2	Friendly	Engaged	Respectful	4	2	5	6	3	2	3	5	99
1620108353	29	3	5		1							2	3	4											10							1											1							1	3	4					1			1		2	2	2		1	4	3			1				1						5	3	1	3	2	2	3	5	2	1	2	2	3	1	1	1	1					1			1				1	1				1		4	3	3	3	2	3	2	Tolerance	Friendly	Freedom of expression	4	2	8	8	3	2	3	5	3
1620129109	29	3	9			1						1	4	4											5									1				1												1	3	4									1	1	10	2		3	1	3		1	1		1	1	1	1	1	1			4	4	3	4	4	4	4	4	4	2	2	2																							1	5	5	5	1	1	3	2	Freedom	Normal		4	1	7	8	1	2	2	4	5
1620204564	29	3	6	1								1	4	5											5					1			1									1			1					1	3	4					1					1	9	2		1	2	3		1	1										2	4	3	4	3	3	3	3	2	2	2	2																		1		1				2	4	4	3	2	2	2	Liberal	Tolerant	Friendly	3	2	6	7	3	2	3	1	7
1620210702	29	3	9				1					2	3	2											1				1												1									3	3	3									1	2	8	1	2		1	3								1					3	4	4	3	4	4	3	4	2	2	2	2																					1			3	2	3	3	1	1	1	Comprehension	EMPTATS	Equality	3	5	6	7	1	1	1	2	6
1620210713	29	3	6			1						2	3	4											5		1															1								2	3	2	1			1	1		1			2	7	2		1	4	3	1		1		1	1	1						2	3	3	3	3	3	3	3	3	1	1	2	3	1	1		1												1							4	3	3	3	2	1	2	Tolerance	Change	Diversity	3	4	4	5	1	2	2	2	6
1620210831	29	3	2				1					2	5	4											5		1												1											2	3	2				1						2	9	2		1	1	2		1	1										4	4	3	4	4	4	4	3	4	2	2	2																				1				3	3	3	3	2	1	2	Friendly	Tolerant	Respect	3	4	4	5	1	2	2	4	3
1620211192	29	3	9			1						2	5	10				1				1																													3	2	1	1								3	5	2		1	3	4												1	2	3	2	3	3	3	3	2	3	2	2	2																							1	4	4	4	3	2	1	2	Equality	Comprehension	Love	3	4	8	8	1	2	2	2	6
1620214883	29	3	8	1								1	4	4											10		1												1											2	3	3								1		1	4	2		1	4	3			1										2	2	4	4	3	3	3	3	2	1	1	1	3						1										1	1		1	1			4	3	4	4	3	2	2	Good	Something	Sometimes	4	8	3	4	3	2	3	6	3
1620218026	29	3	13	1								1	2	10		1																																			3	4					1					1	9	2		1	2	3			1										1	3	3	1	2	4	4	3	5	1	1	2	3										1							1	1		1			5	1	2	2	2	2	2	Strange	Weird	Prone	4	2	5	6	5		5	4	99
1620219101	29	3	2			1						1	3	4											1					1																1				2	3	1	1	1	1			1		1		2	6	1	1		3	2			1				1						2	3	2	3	2	4	3	2	4	1	1	2	3					1	1										1				1			2	3	3	3	3	2	2	Incomprehension	Rejection	Contempt	2	5	7	8	1	2	2	2	5
1620222579	29	3	11			1						2	6	6											5						1							1												1	3	5	1	1	1	1	1	1	1			3	3	2		1	2	3												1	2	3	1	3	4	3	4	3	4	1	2	2	3		1		1	1	1		1			1											1	3	3	3	3	2	2	2	Support	Comprehension	Modern	4	3	10	8	1	2	2	4	8
1620223382	29	3	11			1						2	6	6											5						1							1												1	3	5	1	1	1	1	1	1	1			3	3	2		1	2	3			1										2	3	1	3	3	4	4	3	4	1	2	2	3		1		1	1			1			1											1	3	2	3	3	2	3	2	support	comprehension	modern	4	3	10	8	1	2	2	4	8
1620551438	29	3	3			1						2	5	5											6				1												1									2	3	3									1	1	8	2		2	1	3	1		1										2	5	3	3	4	3	3	5	3	2	2	2																							1	4	6	3	3	2	2	2	Empathic	Friendly		4	3	3	4	3	2	3	6	2
1620639280	29	3	20	1								1	4	4											3		1												1											1	3	2				1			1			2	9	2		3	2	3	1	1	1										1	2	4	3	2	2	2	2	1	2	1	2	3											1											1	5	3	2	3	2	2	2	Pleasant	Promoted	Fair	4	2	4	5	1	1	1	2	3
1620673689	29	3	4		1							2	4	5											1		1												1											2	3	3						1				1	8	2		1	1	3	1		1										4	4	4	4	4	4	4	4	4	2	2	2																							1	5	5	5	2	2	2	2	Good	Empathic		9	7	4	5	1	2	2	3	7
1620673710	29	3	4			1						2	5	5											5				1												1									1	3	3									1	2	7	2		2	1	4			1										4	3	2	4	4	3	3	5	4	1	2	2	3		1								1			1									1	4	5	3	3	2	2	2	Free	Determined	Feminist	4	2	4	5	5		5	6	5
1619880718	30	3	21						1			2	9	6											5	1												1												6	3	3									1	2	7	2		3	3	3			1				1						1	3	2	5	2	1	3	5	1	2	2	2																		1	1		1	1		2	2	6	3	1	3	2	Pride	Opening	Discovery	3	1	8	8	1	2	2	5	99
1619900311	30	3	7	1								1	3	3											10				1																				1	2	3	3								1		1	8	2		3	3	3	1	1	1	1	1		1	1	1	1			3	4	3	4	3	2	3	3	3	2	2	2																							1	3	3	3	5	2	3	2	Open	Core	Tourism	3	4	9	8	1	2	2	4	5
1619900714	30	3	8	1								1	3	3											5							1												1						2	3	2					1	1				2	8	2		1	3	3	1	1	1								1		3	5	3	4	4	4	4	3	2	2	2	2																							1	3	2	2	4	3	2	2	Chueca	Open	Fuss	3	4	4	5	1	2	2	3	4
1619905903	30	3	14			1	1					1	3	3											1					1														1						2	3	2		1		1		1	1			2	10	1	3		2	3	1	1	1	1		1							2	2	3	3	3	2	3	2	1	1	2	1	1																1	1		1	1			2	4	5	2	1	1	1	natural	respectful	affectionate	3	4	3	4	3	1	3	1	4
