"P3a1" "P3a2" "P3a3" "P3a4" "P3a5" "P3a6" "P3a7" "V8" "P22_1" "P22_2" "P22_3"
"514" NA 1 NA NA NA NA NA 2 2 2 2
"515" 1 NA NA NA NA NA NA 1 2 2 2
"516" 1 NA NA NA NA NA NA 1 2 2 2
"517" NA NA 1 NA NA NA NA 2 2 2 2
"518" NA NA 1 NA NA NA NA 1 2 2 2
"519" NA NA 1 NA NA NA NA 2 2 2 2
"520" NA NA NA NA 1 NA NA 1 1 1 1
"521" 1 NA NA NA NA NA NA 1 2 2 2
"522" NA NA 1 NA NA NA NA 1 2 2 2
"523" NA NA NA NA NA 1 NA 2 2 2 2
"524" NA NA 1 NA NA NA NA 2 2 2 2
"525" NA NA 1 NA NA NA NA 1 2 2 2
"526" 1 NA NA NA NA NA NA 1 2 2 2
"527" NA NA 1 NA NA NA NA 1 2 2 2
"528" NA NA 1 NA NA NA NA 1 2 2 1
"529" NA NA 1 NA NA NA NA 1 1 2 2
"530" NA NA 1 NA NA NA NA 1 2 2 2
"531" NA NA 1 NA NA NA NA 1 2 2 2
"532" NA NA 1 NA NA NA NA 2 2 2 2
"533" 1 NA NA NA NA NA NA 1 1 1 1
"534" 1 NA NA NA NA NA NA 1 2 1 2
"535" 1 NA NA NA NA NA NA 1 2 2 2
"536" NA NA 1 NA NA NA NA 2 2 2 2
"537" NA NA 1 NA NA NA NA 1 2 2 2
"538" 1 NA NA NA NA NA NA 1 2 2 2
"539" 1 NA NA NA NA NA NA 1 2 2 2
"540" 1 NA NA NA NA NA NA 1 2 2 2
"541" NA NA NA 1 NA NA NA 2 2 2 2
"542" NA NA 1 NA NA NA NA 2 2 2 2
"543" 1 NA NA NA NA NA NA 1 2 2 2
"544" NA NA 1 NA NA NA NA 2 2 2 2
"545" 1 NA NA NA NA NA NA 1 2 2 2
"546" 1 NA NA NA NA NA NA 1 2 2 2
"547" NA NA 1 NA NA NA NA 2 2 2 2
"548" NA NA 1 NA NA NA NA 1 2 2 2
"549" NA NA 1 NA NA NA NA 1 2 2 2
"550" NA NA 1 NA NA NA NA 1 1 1 2
"551" 1 NA NA NA NA NA NA 1 2 1 2
"552" 1 NA NA NA NA NA NA 1 2 2 2
"553" NA 1 NA NA NA NA NA 2 2 2 2
"554" NA NA 1 NA NA NA NA 2 2 2 2
"555" NA NA 1 NA NA NA NA 1 2 2 2
"556" 1 NA NA NA NA NA NA 1 1 2 2
"557" 1 NA NA NA NA NA NA 1 2 2 2
"558" NA NA 1 NA NA NA NA 2 2 2 2
"559" NA NA NA NA 1 NA NA 1 2 2 2
"560" NA NA 1 NA NA NA NA 1 2 2 2
"561" NA NA 1 NA NA NA NA 1 2 2 2
"562" NA NA 1 NA NA NA NA 1 2 2 2
"563" 1 NA NA NA NA NA NA 1 2 2 2
"564" NA 1 NA NA NA NA NA 2 2 2 2
"565" NA NA 1 NA NA NA NA 1 2 2 2
"566" NA NA 1 NA NA NA NA 1 2 2 2
"567" NA NA NA 1 NA NA NA 2 2 2 2
"568" NA NA 1 NA NA NA NA 2 2 2 2
"569" NA NA 1 NA NA NA NA 1 2 2 2
"570" NA NA 1 NA NA NA NA 1 2 2 2
"571" NA NA 1 NA NA NA NA 2 2 2 2
"572" NA NA 1 NA NA NA NA 1 2 2 2
"573" 1 NA NA NA NA NA NA 1 2 2 2
"574" NA NA NA NA NA 1 NA 1 2 2 2
"575" 1 NA NA NA NA NA NA 1 1 2 2
"576" NA NA 1 NA NA NA NA 1 2 2 2
"577" NA NA 1 NA NA NA NA 1 2 2 2
"578" NA NA 1 NA NA NA NA 2 2 2 2
"579" NA NA NA NA NA NA 1 1 1 2 2
"580" 1 NA NA NA NA NA NA 1 2 2 2
"581" NA NA 1 NA NA NA NA 2 2 2 2
"582" NA NA 1 NA NA NA NA 1 2 2 2
"583" NA NA 1 NA NA NA NA 1 2 2 2
"584" 1 NA NA NA NA NA NA 1 2 2 2
"585" NA NA 1 NA NA NA NA 2 2 2 2
"586" NA 1 NA NA NA NA NA 2 2 2 2
"587" NA NA NA NA 1 NA NA 1 2 2 2
"588" 1 NA NA NA NA NA NA 1 2 2 2
"589" NA NA 1 NA NA NA NA 1 2 2 2
"590" NA NA NA NA 1 NA NA 1 2 2 2
"591" NA NA NA 1 NA NA NA 1 2 2 2
"592" NA NA 1 NA NA NA NA 2 2 2 2
"593" NA NA NA 1 NA NA NA 1 1 1 2
"594" NA NA NA 1 NA NA NA 2 2 2 2
"595" NA NA 1 NA NA NA NA 2 2 2 2
"596" NA NA 1 NA NA NA NA 2 2 2 2
"597" NA NA NA 1 NA NA NA 1 2 2 2
"598" NA NA 1 NA NA NA NA 2 2 2 2
"599" NA 1 NA NA NA NA NA 2 2 2 2
"600" NA NA 1 NA NA NA NA 1 2 2 2
